id,promotion_info_id,promotion_no,sku_id,sku_name,promotion_price,begin_time,end_time,limit_count,sale_count,state,pdj_price,sys_version,create_time,update_time,create_pin,update_pin,yn,ts,begin_state,end_state,cost_price,allowance,business_version,promotion_type,time_id,create_dt
158219382,5200661,\N,2008180830,蒙牛 巴氏杀菌热处理风味酸牛奶（经典原味） 200g*16盒,5100,2017/9/9 9:00,2017/9/10 20:00,500,38,5,8800,\N,2017/9/7 17:06,2017/9/7 17:06,81372,SYSTEM,0,2017/9/11 13:20,0,0,5100,0,310,4,2.01709E+13,2017/9/7
158231606,5200754,\N,2008851057,鲜美来 黑椒鱼排 130g,990,2017/9/9 9:00,2017/9/10 20:00,20,10,5,1380,\N,2017/9/7 17:43,2017/9/7 17:43,81372,SYSTEM,0,2017/9/11 13:19,0,0,990,0,310,4,2.01709E+13,2017/9/7
158147701,5196604,\N,2007007666,特仑苏 新西兰进口 环球精选纯牛奶 250g*12,4950,2017/9/7 9:00,2017/9/13 20:00,500,119,5,8800,\N,2017/9/7 8:46,2017/9/7 8:46,81372,SYSTEM,0,2017/9/13 20:00,0,0,4950,0,310,4,2.01709E+13,2017/9/7
199303566,8410779,\N,2005468475,草莓白巧 42g,490,2018/1/11 10:02,2018/1/14 20:00,200,7,5,790,\N,2018/1/11 10:05,2018/1/11 10:05,81372,SYSTEM,0,2018/1/14 20:00,0,0,490,0,310,4,2.01801E+13,2018/1/11
199256080,8405678,\N,2011726019,安美鲜 美国天天牛扒  150g,1980,2018/1/11 9:26,2018/1/24 21:00,100,19,5,2980,\N,2018/1/11 9:28,2018/1/11 9:28,81372,SYSTEM,0,2018/1/24 21:00,0,0,1980,0,310,4,2.01801E+13,2018/1/11
199303568,8410779,\N,2011767998,德芙 草莓蔓越莓酸奶巧克力 42g,490,2018/1/11 10:02,2018/1/14 20:00,200,16,5,790,\N,2018/1/11 10:05,2018/1/11 10:05,81372,SYSTEM,0,2018/1/14 20:00,0,0,490,0,310,4,2.01801E+13,2018/1/11
199501392,8421072,\N,2005508943,龙骨 约500g,950,2018/1/12 0:00,2018/1/12 23:59,100,17,5,1350,\N,2018/1/11 23:09,2018/1/11 23:10,erp_zhangpan41,SYSTEM,0,2018/1/13 0:04,0,0,1350,1,120,4,2.02E+13,2018/1/11
199303567,8410779,\N,2011732347,Dove/德芙 柠檬曲奇白巧克力 42g,490,2018/1/11 10:02,2018/1/14 20:00,200,12,5,790,\N,2018/1/11 10:05,2018/1/11 10:05,81372,SYSTEM,0,2018/1/14 20:00,0,0,490,0,310,4,2.01801E+13,2018/1/11
199501395,8421072,\N,2005508943,龙骨 约500g,950,2018/1/15 0:00,2018/1/15 23:59,100,17,5,1350,\N,2018/1/11 23:09,2018/1/11 23:10,erp_zhangpan41,SYSTEM,0,2018/1/16 0:02,0,0,1350,1,120,4,2.02E+13,2018/1/11
199501396,8421072,\N,2005508943,龙骨 约500g,950,2018/1/16 0:00,2018/1/16 23:59,100,14,5,1350,\N,2018/1/11 23:09,2018/1/11 23:10,erp_zhangpan41,SYSTEM,0,2018/1/17 0:02,0,0,1350,1,120,4,2.02E+13,2018/1/11
