,G1,D1,D2,D3,D4,D5,M1,M3,M4,M5,M6,F1,F2,F3
G1,,1.0,0.8,3.0,0.5,0.8,,1.3,,0.5,0.9,1.1,1.6,
D1,2.2,,4.8,2.1,0.8,12.6,3.2,3.9,1.9,,1.0,2.2,3.4,1.2
D2,4.9,5.1,,5.6,,1.1,1.9,2.2,1.9,1.1,1.1,,1.0,
D3,3.8,0.9,8.1,0.9,4.3,1.0,3.9,9.0,1.1,,2.2,,1.2,
D4,,,,2.9,,,2.0,5.6,,1.4,5.7,2.3,7.9,3.9
D5,0.8,5.7,,,,,3.9,5.2,6.9,2.1,0.5,,8.0,1.0
M1,,2.4,1.1,6.3,3.0,3.5,,13.9,4.2,,5.8,,17.0,
M3,0.7,8.5,3.8,6.8,3.3,5.6,13.2,,1.2,1.2,8.7,,6.0,2.3
M4,,0.9,,,,3.9,2.8,,,,2.3,,6.1,
M5,,1.0,,,,,,,,1.3,,,,2.6
M6,,4.3,,1.1,6.6,4.1,6.4,4.5,,,,1.3,3.6,1.1
F1,,,,1.1,,,,,,,1.4,,,1.3
F2,0.7,3.0,1.2,1.2,6.4,2.7,10.2,3.2,6.2,,4.7,,,
F3,,1.1,,1.1,1.4,,3.5,,,,1.3,1.2,1.0,
