,G1,D1,D2,D5,D8,M1,M4,M6,M12,F1,F2,F4,F5,F6
G1,,,0.8,,,,,,,2.6,,,0.6,
D1,0.7,0.5,2.7,2.2,,1.0,1.9,1.1,,1.1,,,0.5,
D2,1.5,2.0,0.9,0.5,1.0,0.9,,1.4,,1.0,2.1,,2.1,
D5,1.5,2.8,,0.7,3.2,2.9,4.7,4.0,1.3,9.2,1.1,2.1,3.2,
D8,0.6,,4.2,,,0.9,1.4,1.1,,1.0,1.2,,1.9,10.2
M1,0.7,1.9,1.0,2.1,4.0,,1.0,1.0,,3.3,5.3,0.6,1.0,6.2
M4,,0.9,2.3,1.2,1.7,1.0,,2.9,,1.3,,,,1.7
M6,,,,3.3,,0.9,,,,8.2,,,5.7,9.0
F1,,,,4.4,,3.6,1.2,5.1,,,1.2,2.3,2.4,2.6
F2,0.8,3.0,1.1,2.2,3.6,2.3,,,,5.8,,1.0,2.6,1.2
F4,,,,2.9,,,,,,1.2,1.1,,,
F5,,,,3.8,,,1.3,4.6,,4.9,2.5,,,2.9
F6,,,3.0,0.9,6.6,2.2,2.4,1.3,,1.3,0.9,,2.6,
