,G1,D1,D3,D5,D8,M1,M3,M4,M6,F1,F2,F4,F6
G1,,2.9,1.5,0.6,,,,0.9,1.4,1.1,,1.0,0.9
D1,3.0,,2.5,3.7,1.1,5.8,,1.0,2.4,,2.0,2.9,2.1
D3,3.5,2.8,,,2.0,,,2.9,1.1,,1.9,1.1,2.3
D5,,1.7,1.7,,,3.3,,3.6,7.3,,4.6,4.3,
D8,2.3,,5.0,,,2.4,,7.8,,,3.1,10.1,7.2
M1,,4.0,2.9,3.4,6.4,,1.0,2.3,3.8,,10.1,2.6,3.9
M3,,,,,,,,1.3,,1.1,,,
M4,,1.0,0.9,,0.9,5.8,,,1.8,1.4,2.1,1.5,3.0
M6,,,1.3,5.8,0.9,3.9,,,,,5.4,1.8,2.6
F1,,,,,,,,3.2,,,,,
F2,,6.5,1.9,5.4,8.7,4.3,,2.5,2.3,,,2.4,
F4,,,,,1.4,1.3,,2.7,,,1.1,,2.4
F6,,,1.7,,11.7,1.2,,6.9,2.8,,0.9,2.3,
