,G1,D2,D5,D6,D7,M3,M6,M9,M12,M13,F2,F4,F5,F6
G1,,3.0,,1.8,1.1,0.9,,,,0.8,0.9,0.6,,
D2,3.1,,6.5,7.9,4.3,6.3,,2.6,1.2,1.2,4.7,,1.2,1.3
D5,,7.1,0.9,3.3,,4.3,5.4,5.1,5.8,3.5,5.9,,1.5,1.3
D6,3.0,7.8,0.9,,2.0,2.6,1.1,1.1,,1.1,2.2,,2.9,6.1
D7,4.5,1.2,,6.5,,2.3,,,,2.4,,,4.8,12.1
M3,,1.8,6.1,3.7,6.7,,,2.2,2.3,2.5,4.0,,1.2,1.3
M6,,1.2,7.1,,1.3,,,9.9,0.9,1.0,,1.5,3.7,1.3
M9,,,3.7,,,1.0,8.3,,,4.4,,,3.5,
M12,,,12.5,,1.3,,4.0,,,,2.2,,1.1,
M13,,3.4,1.4,1.2,5.6,5.6,2.6,2.6,,,,,1.3,1.1
F2,0.8,6.0,4.7,1.8,,2.3,,,3.8,,,1.3,,3.7
F4,,,,,,,1.2,,1.6,,,,,
F5,,1.0,2.4,1.1,2.3,,2.7,2.5,,2.4,,,,8.6
F6,,1.2,,,5.8,1.0,4.1,2.6,,3.5,,4.2,2.6,
