,G1,D1,D3,D5,D7,M1,M3,M6,M8,M12,M13,F1,F2,F4
G1,,5.4,3.0,,2.0,1.7,0.5,,0.5,0.5,,1.7,,1.1
D1,7.4,,7.4,1.0,6.2,6.8,3.8,2.5,1.0,,2.0,1.0,1.7,
D3,5.4,4.6,0.8,6.8,5.0,1.0,3.7,7.7,1.1,,2.8,2.0,2.1,2.0
D5,2.3,1.1,3.0,,,2.9,5.3,7.9,2.4,2.0,3.7,6.2,3.1,1.8
D7,3.4,5.5,0.8,,1.0,4.0,2.2,,4.7,,,4.0,0.9,0.9
M1,,8.5,4.7,7.0,4.4,0.6,9.5,3.9,2.4,,2.2,1.1,2.1,1.1
M3,,4.7,5.7,2.1,3.7,10.6,,5.9,1.4,,4.8,,4.5,1.2
M6,,,1.2,10.8,,1.4,5.2,,9.0,1.5,3.6,,4.4,4.4
M8,0.8,,0.9,,7.0,3.4,,,,,,1.6,1.3,1.6
M12,,,0.9,1.5,,,,,1.1,,,,,3.1
M13,,2.2,,3.3,2.2,2.0,4.6,3.6,,,2.6,,,
F1,,,1.3,,,3.4,,1.3,3.1,,2.5,,,
F2,,,4.0,5.3,,1.2,0.9,1.3,2.5,1.2,,,,1.5
F4,,,,,,4.3,1.0,5.3,,1.6,,,,
