,G1,D1,D3,D4,D6,M1,M3,M4,M5,M6,M9,F1,F2,F4
G1,,2.4,3.1,0.5,1.7,,0.5,,,,0.9,,2.5,
D1,2.4,,12.2,2.2,8.8,10.4,2.8,,,,3.4,1.0,2.4,
D3,4.7,12.4,,8.0,,4.2,4.8,,0.9,1.3,,3.3,,
D4,2.2,3.7,6.0,,,2.6,5.6,,,1.3,1.0,6.2,5.2,
D6,2.3,4.9,0.9,2.5,,2.5,,,,1.5,3.6,1.2,2.7,1.4
M1,0.9,2.1,3.9,2.5,8.7,,7.9,,,1.1,1.1,2.5,8.4,
M3,,4.6,,12.1,3.1,8.4,,,,2.0,,6.1,1.0,
M4,,,,,0.8,,,,,,,,,
M5,,,0.9,,,,,,,,1.8,,,
M6,,0.9,,3.3,3.9,3.5,,,,,2.9,3.4,1.3,1.0
M9,,1.7,,3.0,6.2,3.6,1.2,,,3.6,,,1.3,
F1,,,,4.5,,3.1,2.1,1.5,,1.2,,,2.8,
F2,,1.1,1.0,4.0,6.0,3.9,3.2,,,2.8,5.3,,,1.1
