,G1,D2,D3,D4,D7,M1,M4,M5,M6,M8,M11,F1,F2,F4
G1,,0.5,,1.0,,,0.5,,,,,2.2,,1.9
D2,2.2,,7.9,8.3,0.9,4.4,1.2,,1.4,,2.2,2.2,6.0,
D3,3.1,5.1,,3.6,8.3,5.4,2.3,2.2,,4.8,1.0,1.2,5.2,1.0
D4,,3.7,,,,11.0,2.5,7.8,1.2,,,1.4,13.1,8.2
D7,1.6,,5.9,,,4.7,6.4,,1.5,10.3,3.7,6.2,7.1,5.2
M1,0.8,5.8,4.1,14.6,8.2,0.6,5.3,2.3,2.5,0.5,0.9,,11.4,4.5
M4,1.7,3.5,4.3,2.1,12.3,2.1,,5.0,,1.2,1.3,,3.7,2.4
M5,0.7,,1.2,4.7,2.5,3.4,3.5,,,3.2,,1.2,6.7,
M6,,,,2.7,1.6,,,,,,,,,
M8,,,,,5.2,1.2,2.1,1.3,,,,,3.7,
M11,,0.9,1.3,1.3,2.4,2.3,5.3,,,,,2.6,3.6,
F1,,,0.9,1.4,2.4,1.2,1.5,1.2,,,,,,2.7
F2,,4.5,2.2,10.9,8.1,8.7,4.9,4.9,,6.4,3.7,,,2.7
F4,,,,,1.6,,,,,,,1.4,2.7,
