,G1,D1,D3,D4,D8,M1,M3,M4,M11,M12,F1,F2,F5,F6
G1,,0.8,,,,,0.9,,,0.6,0.6,,,
D1,2.3,,5.6,10.6,1.8,,3.4,1.2,,1.2,1.3,,3.0,
D3,3.7,9.7,,,5.0,,3.5,1.3,,,,1.2,,4.1
D4,,3.6,1.2,,,1.2,1.9,2.6,2.5,2.3,3.7,2.1,8.1,1.3
D8,,,10.1,,,1.4,1.1,1.4,,,,1.3,3.2,2.3
M1,,0.9,,4.5,1.4,,2.2,2.5,,,2.9,,,2.5
M3,,4.2,4.0,3.5,5.0,2.3,,0.9,,4.3,,3.6,2.8,1.3
M4,,,1.1,1.2,1.2,1.3,1.3,1.8,,,,,1.5,
M11,,,1.1,,,,1.2,,,,1.5,,,
M12,,,,2.6,,,1.3,,,,,2.6,2.3,
F1,,,,7.9,,1.3,,,2.4,,,,,
F2,,1.1,2.4,1.0,0.9,,2.3,,,1.4,,1.2,1.4,1.2
F5,,,,4.3,1.3,1.3,1.2,2.7,,1.4,1.4,1.4,,1.0
F6,,0.9,1.2,,,2.4,2.5,2.5,,,2.5,,2.4,
