,G1,D2,D5,D6,D7,M1,M3,M4,M6,M8,M9,F1,F2
G1,,,0.8,0.5,0.5,0.4,,,,,,1.1,0.8
D2,2.5,,8.1,4.6,1.0,4.9,4.3,,,,,,2.0
D3,,,,,,,,,,,0.9,,
D5,0.8,5.7,,1.9,,3.3,14.8,,7.7,,,,10.2
D6,4.3,6.5,1.9,,4.0,4.1,4.1,,1.1,,1.1,1.0,2.1
D7,1.7,,,2.7,,5.5,1.3,,3.9,4.2,4.7,1.3,3.7
M1,0.6,5.9,5.3,11.8,10.8,,9.4,1.0,7.3,4.8,,0.9,6.4
M3,,3.0,11.9,5.9,3.3,14.9,,,1.5,0.9,,0.8,1.1
M4,0.7,,,,,1.1,,,,,,1.0,
M6,,,4.6,,,5.1,3.2,,,,,1.2,7.6
M8,,,,,1.0,1.2,0.9,,1.6,,,1.3,0.9
M9,,,,,4.4,,1.1,,,,,0.9,1.4
F1,,,1.2,,1.0,3.3,,1.0,,2.5,,,2.9
F2,,,6.4,4.0,4.5,3.7,4.5,,6.2,2.8,,2.7,
