,G1,D1,D3,D4,D6,D8,M1,M3,M4,M12,F1,F2,F5,F6
G1,,4.3,0.8,0.5,,0.5,2.6,,,1.0,,0.5,0.5,
D1,3.0,,3.0,10.1,,1.0,10.0,,2.5,1.8,1.0,6.0,1.0,1.2
D3,4.7,5.0,,2.9,,8.7,2.8,,2.2,,0.9,8.2,2.7,2.1
D4,0.8,9.3,2.1,1.0,,,7.4,2.1,,5.7,6.7,7.1,4.1,1.8
D6,,,,,,1.1,,,,,,,1.1,
D8,0.8,0.9,6.3,,1.0,,1.1,,0.9,1.0,,4.2,2.0,11.5
M1,,4.0,3.6,6.3,1.0,7.8,,,4.5,5.3,1.3,10.4,1.3,5.4
M3,,,,,,,2.1,,,,,,,
M4,,,,2.2,,0.4,5.3,,,,,2.6,,
M12,,,0.9,3.7,,,1.4,1.3,,1.2,,1.0,9.3,
F1,,,2.0,3.6,,,,,,2.0,,1.3,,2.9
F2,,8.4,11.2,10.5,,4.4,10.7,,3.9,3.9,2.6,,2.6,5.8
F5,,,,1.3,,,3.8,,1.3,,2.6,2.3,,1.8
F6,,1.0,0.9,,,7.6,2.6,,1.3,6.2,4.8,6.3,1.7,
