,G1,D1,D3,D4,D7,M1,M4,M6,M8,M10,M11,F1,F2,F4
G1,,1.3,0.8,,0.9,,1.0,,,,,0.6,,1.2
D1,0.7,,2.0,1.0,0.8,5.3,,,,,1.1,1.4,,2.4
D3,5.0,2.1,,,1.5,0.4,3.4,3.6,,,1.2,1.3,2.1,
D4,1.6,1.0,0.9,,1.0,5.5,,,,,,,3.7,1.2
D7,0.8,,2.1,0.8,,,0.8,,0.4,1.2,2.1,0.5,,3.7
M1,1.3,1.6,1.2,4.9,2.6,,8.4,0.5,,0.6,4.2,,6.3,4.6
M4,,2.3,,1.5,1.3,1.8,0.8,0.9,1.4,3.9,1.0,1.4,4.0,3.2
M6,,,3.1,,5.1,1.1,1.8,,,,1.9,2.7,1.2,
M10,,,1.1,,,,1.3,,,,,,,2.9
M11,0.7,,1.0,1.1,4.5,2.5,1.1,2.1,,,,,3.1,
F1,,,,,,,,2.8,,1.5,,,,2.5
F2,,1.0,1.2,7.4,,3.6,5.0,,,,2.6,,,2.8
F4,,,,,0.7,,1.4,3.1,1.3,3.0,,,1.7,
