,G1,D1,D2,D3,D4,D5,M1,M2,M3,M4,M5,F1,F2,F3
G1,0.4,1.0,,1.6,,1.4,2.5,,,,,1.7,,
D1,1.4,,12.8,7.0,2.7,2.9,11.6,0.8,4.0,0.9,,3.6,3.3,1.1
D2,0.7,10.4,,17.8,,,1.1,,1.0,,,1.0,3.2,
D3,4.3,6.0,6.1,,10.3,,4.2,5.2,6.1,1.1,1.0,1.3,2.1,1.2
D4,,,0.8,3.8,,,1.0,4.5,2.3,1.4,,1.1,2.4,2.4
D5,,0.9,,,,2.4,4.8,,1.1,,,2.3,9.6,
M1,0.3,13.0,3.0,,3.4,3.3,1.3,1.3,8.3,2.4,1.5,6.2,11.4,2.8
M2,0.8,,1.9,2.2,5.0,,1.3,,7.5,,,1.0,,2.4
M3,,6.2,2.9,8.0,1.9,7.3,9.5,4.6,,,,,6.6,1.3
M4,,,,,2.8,,1.0,,2.3,,,,2.4,2.8
M5,,,,,,,,,,1.4,,,2.5,
F1,,2.4,,,,1.8,1.0,,,,1.7,,8.1,1.7
F2,,3.0,,4.5,2.9,4.4,18.4,,4.7,2.4,1.6,7.0,,2.5
F3,,,1.1,1.1,,,,1.0,1.9,,,1.6,4.3,
