,G1,D1,D2,D3,D4,D6,M1,M2,M3,M4,M6,M7,F1,F2
G1,,0.5,,0.4,,0.8,,,,,,,1.0,0.6
D1,5.2,,3.8,2.9,,5.6,2.7,,1.0,,,,,
D2,0.9,3.8,,2.8,,,1.1,,,0.9,,,,
D3,6.1,2.8,1.9,,0.9,,0.8,,2.1,,,,1.4,1.9
D4,0.8,,,3.7,,,,,2.0,0.9,,,1.1,
D6,0.7,,,,,1.4,2.6,,,3.0,,,10.1,2.5
M1,0.8,2.7,0.9,1.7,,9.8,,,4.5,1.3,1.3,,3.5,6.1
M2,0.7,,,,3.6,,,,,,1.9,,1.1,0.9
M3,0.7,3.2,0.9,0.9,6.6,,1.2,,,,1.2,,0.9,2.0
M4,,0.9,,0.8,,2.6,2.2,,0.9,,,,,2.1
M6,,,,,2.4,,,,1.4,,,,,1.9
F1,,,,,,2.4,3.1,,,1.4,,1.3,,4.9
F2,,1.1,1.0,2.1,3.0,3.8,3.7,0.9,1.2,1.3,,,3.9,
