,G1,D1,D2,D3,D5,D7,M1,M3,M4,M6,M8,M11,F1,F3
G1,,1.4,,,0.4,0.9,0.5,0.9,,,,,4.9,0.6
D1,3.1,,,2.3,,9.0,,1.0,2.1,1.6,2.9,1.2,4.2,1.9
D2,0.8,1.0,,0.9,,0.9,,,,,,1.9,,
D3,3.0,2.0,2.8,1.2,4.5,2.0,1.2,5.1,,3.2,,1.3,3.3,
D5,1.4,,,4.9,1.1,,,2.8,1.3,8.4,,,5.5,
D7,2.0,3.8,,1.0,,,4.3,1.3,,2.4,2.5,0.9,4.6,3.9
M1,,0.7,,2.3,,4.0,,4.2,1.3,,2.2,,1.2,
M3,,2.2,0.9,7.6,9.2,5.0,3.2,,5.5,2.5,,1.2,2.1,
M4,,0.9,,1.3,0.9,,,1.3,,5.4,,,,
M6,,,,2.4,6.0,2.8,,2.4,3.9,0.9,,2.1,3.7,1.3
M8,,1.0,,,,2.8,1.2,1.0,,2.4,,,1.9,
M11,,,,2.2,,,,3.4,,2.4,,,1.2,2.0
F1,,,,1.1,3.6,,,3.5,1.0,2.3,1.5,,,2.5
F3,,,,,0.8,3.9,,2.1,,3.4,,1.1,2.3,
