,G1,D1,D2,D5,D7,D9,M1,M3,M4,M12,F1,F4,F5,F6
G1,,1.7,1.8,,2.0,4.0,,,,,0.6,0.6,,0.6
D1,,,2.8,,5.3,1.9,1.2,1.0,,1.2,,0.8,,1.1
D2,2.4,1.1,,1.6,7.4,7.9,3.1,2.8,,,,1.4,,2.3
D5,0.7,,1.7,,,4.7,1.2,6.4,2.6,6.1,2.8,5.7,,
D7,,0.9,8.4,1.0,,,7.4,7.4,,7.7,2.4,3.4,,4.6
D9,2.1,0.9,6.6,9.0,1.2,,3.1,6.4,1.2,1.1,0.9,1.0,,2.6
M1,0.7,2.9,2.2,2.9,7.2,3.1,,5.4,5.5,3.5,1.0,4.1,,2.7
M3,2.4,1.9,2.0,2.3,13.3,3.2,8.7,,4.8,7.6,,1.1,1.3,3.2
M4,,,1.0,4.3,,0.9,2.4,,,1.3,2.9,1.3,2.4,
M12,,,,0.9,5.4,,2.3,1.3,,,,2.7,,
F1,,,,,,1.6,2.3,1.2,1.1,,,3.4,1.3,
F4,,,,2.8,,2.6,1.3,1.4,,2.5,1.5,,,2.8
F5,,,,1.2,,,,,1.3,1.4,,,,
F6,,,,,2.6,,,3.6,1.5,,,5.4,,
