,G1,D1,D3,D4,D7,M1,M3,M4,M6,M8,M10,F1,F3,F4
G1,,,,,0.9,0.9,,,,0.9,,,,
D1,2.1,,2.0,5.4,2.2,1.0,,,1.4,,,1.3,,1.9
D3,3.0,3.6,,0.9,,,1.1,1.0,1.1,,1.1,,,0.6
D4,0.8,3.9,,,,1.1,,1.0,5.3,,,,1.3,0.6
D7,1.6,,,,,1.8,1.1,,0.7,1.0,,0.8,1.0,2.3
M1,,1.0,2.7,,3.1,,2.3,1.3,1.2,3.4,,1.8,,1.2
M3,,1.0,2.0,2.3,1.1,1.3,,,,,1.0,,,
M4,,1.2,,3.1,,,,,1.1,,,,,1.2
M6,,3.1,,3.1,,1.3,1.2,1.9,,1.0,,2.6,,3.9
M8,,,0.9,2.4,,6.8,,,,,,,,1.6
M10,,1.0,,,,,,,1.4,,,,,0.9
F1,,1.3,,,0.9,1.1,,,2.5,,,,,2.8
F3,,,,,1.4,,,,2.4,,,,,1.7
F4,,,,,,2.6,0.9,2.3,2.3,,,,1.6,
