,G1,D1,D3,D4,D8,D10,M1,M3,M4,M9,F2,F4,F5,F6
G1,,0.5,1.4,0.5,1.8,0.8,,1.4,,,1.0,0.6,,
D1,2.8,,2.0,2.0,1.4,,1.8,1.0,1.2,0.9,3.9,,2.0,3.6
D3,3.9,4.8,,1.0,4.0,1.0,1.9,2.2,,7.0,2.0,,2.3,2.0
D4,0.9,3.5,,,,,4.8,5.8,,1.1,3.5,1.0,3.5,9.4
D8,0.7,,1.1,,,,3.1,2.2,,10.2,5.0,2.6,1.3,1.3
D10,0.8,,2.0,,,,0.9,1.1,,,,,,1.2
M1,0.7,0.9,2.2,12.1,3.7,1.1,,9.5,,3.4,7.9,1.2,2.3,2.5
M3,,5.2,3.9,12.3,4.0,,14.5,,,,4.8,2.7,2.2,4.5
M4,,,,,2.4,,1.3,2.0,,,,,,2.7
M9,,1.0,1.0,1.4,9.4,,1.3,0.7,,,1.2,,1.2,1.5
F2,,2.0,1.8,5.2,5.7,,3.7,3.1,,3.6,,,3.8,4.0
F4,,,,2.4,,,,,,,,,,
F5,,,,,1.2,,2.5,,,1.1,3.7,,,2.9
F6,,,,1.1,1.3,,4.8,3.3,3.7,,5.6,,5.1,
