,G1,D1,D2,D3,D4,D6,M1,M4,M6,M7,M8,F1,F2,F3
G1,,1.4,2.5,4.0,,1.3,2.3,0.5,,,,2.3,1.3,0.6
D1,6.7,,9.0,,,5.9,1.0,2.0,,4.1,,1.0,3.3,1.2
D2,2.4,6.6,,9.0,,,3.9,3.2,3.3,2.1,,,6.0,
D3,5.9,2.8,5.5,1.9,13.8,,2.1,2.8,1.0,3.3,,,,
D4,0.7,1.0,1.9,5.3,1.2,,4.5,1.9,,,,1.3,1.2,
D6,1.6,3.5,1.0,,,1.1,1.2,,3.4,1.0,,,7.5,2.4
M1,,4.0,1.7,3.2,3.1,1.2,,5.6,4.6,3.6,,1.3,7.0,2.1
M4,0.8,2.7,2.8,1.7,1.1,1.8,7.3,,,,,,4.9,1.2
M6,,,,,9.2,,3.4,,,4.4,1.3,,4.4,1.4
M7,1.7,3.1,1.2,3.1,1.1,3.5,5.9,,2.0,,,,2.3,
M8,,,,,,1.3,1.5,,,,,,,
F1,,,,,,1.2,,,1.3,,,,,
F2,,2.1,0.9,2.3,,10.8,2.4,2.5,7.2,,1.7,2.7,,5.3
F3,,,,1.0,,2.5,2.3,,1.0,,,,4.1,
