,G1,D1,D3,D4,D8,D10,M1,M3,M9,M11,M12,F2,F5,F6
G1,,3.4,2.7,0.9,0.8,,,1.6,,,3.2,0.5,1.7,
D1,5.7,,7.6,7.4,0.9,,1.9,6.0,,,1.3,2.2,2.8,2.4
D3,3.9,6.1,,,9.2,,,4.8,,,1.6,3.2,5.6,1.6
D4,2.2,3.4,2.4,,,2.0,3.8,4.0,1.4,2.3,3.1,2.0,6.2,
D8,3.0,0.9,7.1,,0.7,,1.0,1.2,,,2.3,1.3,7.5,9.3
D10,0.7,,2.1,1.0,,,,,,,,,,1.1
M1,,2.0,4.5,4.2,2.6,,,7.7,,,8.9,4.8,1.9,1.4
M3,,4.4,4.5,4.1,4.0,0.9,15.3,,,,6.6,10.9,2.4,1.0
M9,,,,,,,,,,1.2,,,,
M11,,,,,0.9,,,1.7,,,,2.5,1.1,1.3
M12,,,,7.3,,,2.3,2.4,,,1.2,1.4,3.9,
F2,,3.0,2.0,4.3,8.6,,6.2,8.4,,1.0,4.1,,2.5,1.3
F5,,,,4.2,4.1,1.3,,,1.1,,1.5,9.7,,4.3
F6,,0.9,,2.6,3.4,,2.6,,,1.3,,2.6,,
