,G1,D1,D2,D4,D5,M1,M2,M3,M4,M6,M9,F1,F2,F3
G1,,2.7,1.7,1.8,3.2,0.5,,,,1.4,,0.6,0.5,1.6
D1,4.3,,6.5,1.0,14.3,2.2,1.8,3.1,0.9,,0.9,,2.4,
D2,5.3,6.4,,13.6,1.7,1.1,,5.6,6.1,,,,1.1,
D4,1.5,,7.5,,2.3,2.2,2.1,5.7,5.4,7.7,2.6,,9.8,3.8
D5,0.8,7.8,,,,10.1,1.3,7.8,1.0,1.7,,3.5,14.4,6.0
M1,,1.1,6.0,3.4,5.9,1.2,2.6,2.2,1.1,6.1,,2.3,3.3,3.4
M2,,,,0.9,2.7,,1.7,1.3,,4.7,,,1.4,
M3,2.2,3.9,6.0,5.2,4.9,5.5,,,,3.9,,,1.0,1.1
M4,,,6.3,3.4,3.8,1.2,,3.0,,1.2,1.1,,1.0,
M6,,1.1,3.0,12.8,2.6,1.3,2.3,1.9,1.3,,1.0,,7.2,4.1
M9,,,0.9,,,,,,1.0,,,1.1,1.1,
F1,,1.2,,,,1.1,,,1.1,,,,,
F2,,1.7,,1.1,9.2,6.0,3.2,2.3,2.6,,1.3,1.1,1.4,1.2
F3,,,2.3,2.5,3.4,,,,,1.4,,,2.5,
