,G1,D3,D5,D6,D7,M1,M3,M6,M8,M12,M13,F1,F2,F5
G1,,1.6,2.1,1.8,,1.3,,,,,,2.9,,
D3,4.9,,1.9,2.7,0.9,1.7,,,0.9,2.3,,1.2,1.6,
D5,0.7,4.7,,,,12.2,,2.9,,,2.9,1.2,7.4,1.3
D6,3.7,1.8,,,1.9,1.0,1.1,0.7,,1.0,,,1.2,1.1
D7,1.4,0.9,,0.9,,2.1,,,4.5,,2.3,1.3,,2.5
M1,,3.1,11.3,1.9,5.9,,4.1,4.8,2.3,2.2,2.3,,9.2,6.4
M3,,0.8,1.7,0.9,1.3,2.1,,,1.2,,,,2.7,
M6,,1.0,5.7,,,2.1,,,,,,,2.4,6.1
M8,,,,,5.5,,1.1,,,,1.1,,2.5,1.3
M12,,,,1.9,0.9,0.8,,,,,,,,2.0
M13,,2.1,1.9,2.0,7.6,3.4,,1.6,,2.5,,1.5,4.3,2.1
F1,,,,,2.8,,,1.4,,,,,,
F2,,,2.1,,2.0,4.5,1.2,1.0,1.0,2.1,3.3,3.0,,
F5,,,,,2.5,1.2,,2.7,,1.4,1.5,,4.4,1.3
