,G1,D2,D4,D5,D6,D7,M1,M2,M3,M4,M6,F1,F2,F4
G1,,0.9,0.5,1.6,0.9,,1.0,,2.7,1.0,,1.0,,
D2,1.4,,4.4,2.1,10.4,,2.9,,6.0,,,,,
D4,1.4,5.2,,,,,5.8,3.7,1.0,,3.9,5.1,,5.3
D5,1.6,,,,3.0,,6.4,2.7,3.8,1.2,0.8,6.9,6.1,1.0
D6,3.2,3.5,,2.0,,,3.4,0.8,8.4,,,5.3,2.1,1.3
D7,,,,,,,1.4,,,1.3,,5.7,,
M1,,2.8,8.4,10.3,4.1,2.4,,3.1,12.4,6.1,9.2,1.4,13.7,1.2
M2,,1.0,1.6,3.4,1.7,,1.9,,3.7,,2.7,2.5,1.8,
M3,0.8,10.8,4.7,6.2,1.9,1.0,19.2,0.9,,1.2,7.7,1.1,1.3,1.4
M4,,1.1,,5.2,,1.6,4.9,,,,,3.4,,3.1
M6,0.7,1.0,7.1,2.9,,,5.9,2.3,1.3,,,3.1,,
F1,,1.6,,,,,,,2.4,8.1,,,2.4,
F2,,,,5.6,1.2,,4.7,2.7,4.6,,1.4,2.5,1.0,
F4,,,3.1,,,,,,,1.4,,1.3,,
