,G1,D1,D3,D4,D8,D10,M1,M2,M3,M4,M12,F4,F5,F6
G1,,2.2,0.8,,,,1.9,,0.4,,,,,
D1,1.4,,0.9,1.0,6.3,0.8,5.7,,6.6,3.4,,4.2,2.2,
D3,0.9,2.8,,2.8,2.0,1.9,2.8,,1.0,0.9,,1.2,1.1,
D4,,,0.9,,,,1.1,,3.0,6.0,,8.6,2.6,8.8
D8,0.8,,1.8,,,,3.4,2.3,,8.6,2.9,,3.9,
D10,,,0.9,1.0,,,1.3,,1.9,1.1,,,,
M1,,6.1,2.1,5.4,5.7,1.2,1.2,3.5,10.7,5.8,1.4,11.2,1.4,2.4
M2,,,1.1,2.1,1.9,,2.5,1.0,1.0,2.5,,4.0,,
M3,0.8,4.4,2.8,6.6,2.9,0.9,9.4,2.4,,2.2,,2.8,1.1,1.3
M4,,4.2,,2.6,6.1,0.9,5.0,2.2,6.9,,,2.1,1.4,1.3
M12,,,,,,,1.2,,,,,2.4,,
F4,,,,1.2,2.9,,6.2,3.7,2.5,2.4,,,5.3,7.3
F5,,,,,,,,,,7.6,,2.9,,
F6,,2.2,,5.1,,,1.3,3.9,,,,,,
