109.024	34.343	18
108.9088	34.265	13
109.0056	34.2289	4
108.9709	34.2657	10
108.8048	34.0528	2
108.9944	34.2546	12
108.9709	34.276	11
108.9785	34.2413	11
108.9499	34.2421	9
108.9388	34.254	4
109.011	34.257	3
108.8399	34.1353	3
108.8808	34.2317	2
108.8609	34.197	5
108.9996	34.1728	4
108.9946	34.2087	5
108.9861	34.2259	4
108.9615	34.2293	6
108.8376	34.3018	6
108.8586	34.2093	14
108.8933	34.2649	4
108.898	34.2889	9
108.9401	34.229	2
108.9598	34.2004	24
108.9301	34.3576	2
108.9571	34.2715	2
108.8946	34.2289	15
108.9699	34.2501	6
109.0672	34.2942	2
108.9989	34.3868	8
108.997	34.2218	12
108.9044	34.2063	7
109.0357	34.2601	8
108.997	34.2835	9
109.0226	34.2508	5
108.9441	34.3467	5
108.9321	34.2	2
108.9086	34.2174	11
108.9809	34.3939	4
109.0749	34.2732	3
108.996	34.161	6
109.2014	34.3779	3
109.0872	34.2394	5
108.9803	34.3483	2
108.9934	34.3219	6
108.9709	34.2222	17
109.1291	34.2787	3
108.9908	34.2752	3
109.0051	34.2769	18
108.9078	34.1603	15
108.9404	34.1259	10
108.8826	34.1818	4
108.9034	34.2971	2
108.9703	34.1958	11
108.9454	34.2612	13
108.883	34.1973	14
108.9457	34.2902	4
108.8946	34.2147	3
108.9585	34.3537	7
108.896	34.3801	20
108.9108	34.2408	22
108.9418	34.2092	8
108.9574	34.3355	4
108.8517	34.1736	11
108.9257	34.2469	3
109.0078	34.3661	6
108.8933	34.2011	11
108.9532	34.2141	15
108.8884	34.2516	10
108.9528	34.2971	13
108.981	34.2122	24
108.9855	34.3843	5
108.9251	34.265	2
108.9327	34.3165	6
108.9255	34.3034	2
108.8771	34.2434	6
