MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0
1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546000000006,Simple pass,53,89,69.0,91.0
1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.00872099999998,Simple pass,19,16,5.0,50.0
1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Launch,5,50,67.0,44.0
1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0
1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.02554500000002,Simple pass,30,11,31.0,22.0
1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.02599700000002,Simple pass,31,22,27.0,23.0
1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.85614800000002,High pass,27,23,36.0,6.0
1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275000000001,Simple pass,48,12,46.0,56.0
1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.63611600000002,Simple pass,46,56,56.0,68.0
1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Simple pass,14,65,11.0,50.0
1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0
1,Huskies,Huskies_D1,Huskies_D2,1H,247.46904899999998,Simple pass,17,92,22.0,62.0
1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0
1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0
1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Simple pass,8,45,19.0,13.0
1,Huskies,Huskies_D3,Huskies_G1,1H,259.614989,Simple pass,19,13,12.0,38.0
1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0
1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0
1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0
1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0
1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0
1,Opponent1,Opponent1_M1,Opponent1_D1,1H,318.875721,Simple pass,55,12,62.0,9.0
1,Huskies,Huskies_D1,Huskies_M3,1H,325.77882999999997,Simple pass,19,98,35.0,86.0
1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0
1,Huskies,Huskies_M2,Huskies_D3,1H,349.65180499999997,Simple pass,47,59,47.0,27.0
1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0
1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Simple pass,45,40,47.0,12.0
1,Opponent1,Opponent1_D4,Opponent1_M3,1H,380.02212,Simple pass,19,68,27.0,65.0
1,Opponent1,Opponent1_M3,Opponent1_D3,1H,380.84080800000004,Simple pass,27,65,27.0,90.0
1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0
1,Huskies,Huskies_D1,Huskies_D2,1H,395.60980199999995,Simple pass,25,94,24.0,55.0
1,Huskies,Huskies_D2,Huskies_D3,1H,398.39209900000003,Simple pass,24,55,24.0,20.0
1,Huskies,Huskies_D3,Huskies_M2,1H,401.47368800000004,Simple pass,24,20,33.0,20.0
1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0
1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103000000003,Simple pass,33,35,24.0,24.0
1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Simple pass,24,24,29.0,68.0
1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,411.01268400000004,Simple pass,25,88,31.0,99.0
1,Huskies,Huskies_M1,Huskies_D1,1H,413.89920800000004,Simple pass,31,99,27.0,88.0
1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0
1,Huskies,Huskies_D2,Huskies_D3,1H,417.77838099999997,Simple pass,29,53,37.0,14.0
1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Simple pass,37,14,42.0,16.0
1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0
1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0
1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Simple pass,32,85,59.0,67.0
1,Opponent1,Opponent1_M3,Opponent1_F2,1H,432.03945799999997,Simple pass,42,30,47.0,50.0
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,435.13183200000003,Simple pass,47,50,41.0,54.0
1,Opponent1,Opponent1_D3,Opponent1_G1,1H,437.28470100000004,Simple pass,41,54,14.0,55.0
1,Opponent1,Opponent1_G1,Opponent1_D3,1H,440.93140500000004,Simple pass,14,55,36.0,85.0
1,Opponent1,Opponent1_D3,Opponent1_M3,1H,446.42999,Simple pass,36,85,41.0,70.0
1,Opponent1,Opponent1_M3,Opponent1_D2,1H,448.82333700000004,Simple pass,41,70,51.0,13.0
1,Opponent1,Opponent1_D2,Opponent1_D1,1H,452.249359,High pass,51,13,84.0,12.0
1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0
1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0
1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0
1,Huskies,Huskies_D3,Huskies_D2,1H,478.06325200000003,Simple pass,31,16,35.0,59.0
1,Huskies,Huskies_D2,Huskies_M3,1H,483.45968300000004,Simple pass,35,59,37.0,42.0
1,Huskies,Huskies_M3,Huskies_D2,1H,486.90414599999997,Simple pass,37,42,41.0,84.0
1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0
1,Huskies,Huskies_M1,Huskies_D1,1H,492.91364899999996,Simple pass,49,97,40.0,86.0
1,Huskies,Huskies_D1,Huskies_D2,1H,495.20349699999997,Simple pass,40,86,43.0,46.0
1,Huskies,Huskies_D2,Huskies_D3,1H,499.177369,Simple pass,43,46,44.0,13.0
1,Opponent1,Opponent1_F3,Opponent1_F2,1H,504.39691700000003,Simple pass,54,84,55.0,48.0
1,Opponent1,Opponent1_F2,Opponent1_M2,1H,506.68086400000004,Simple pass,55,48,55.0,32.0
1,Opponent1,Opponent1_M2,Opponent1_D1,1H,510.87465499999996,Simple pass,55,32,43.0,28.0
1,Opponent1,Opponent1_D1,Opponent1_D2,1H,512.290179,Simple pass,43,28,41.0,38.0
1,Opponent1,Opponent1_D2,Opponent1_M3,1H,516.923641,Simple pass,61,52,57.0,86.0
1,Opponent1,Opponent1_M3,Opponent1_F3,1H,520.306956,Smart pass,57,86,99.0,72.0
1,Opponent1,Opponent1_M3,Opponent1_D1,1H,605.781783,Simple pass,62,68,55.0,29.0
1,Opponent1,Opponent1_D1,Opponent1_M1,1H,607.665948,Simple pass,55,29,60.0,27.0
1,Opponent1,Opponent1_M1,Opponent1_M2,1H,609.742066,Simple pass,60,27,71.0,8.0
1,Opponent1,Opponent1_M2,Opponent1_F2,1H,611.626465,Simple pass,71,8,67.0,14.0
1,Opponent1,Opponent1_F2,Opponent1_M2,1H,614.115182,Smart pass,67,14,90.0,7.0
1,Opponent1,Opponent1_D2,Opponent1_F2,1H,628.545296,Head pass,53,15,75.0,10.0
1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0
1,Huskies,Huskies_D1,Huskies_D3,1H,638.716336,Simple pass,20,67,22.0,37.0
1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0
1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0
1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0
1,Huskies,Huskies_M3,Huskies_D1,1H,654.272547,Simple pass,44,45,45.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0
1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0
1,Huskies,Huskies_D2,Huskies_D3,1H,660.927154,Simple pass,35,53,36.0,26.0
1,Huskies,Huskies_D3,Huskies_D4,1H,662.816659,Simple pass,36,26,44.0,9.0
1,Huskies,Huskies_D4,Huskies_D3,1H,664.192536,Simple pass,44,9,29.0,28.0
1,Huskies,Huskies_D3,Huskies_D1,1H,666.398299,Simple pass,29,28,30.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,670.794207,Simple pass,30,88,54.0,98.0
1,Huskies,Huskies_M1,Huskies_D1,1H,672.485389,Simple pass,54,98,40.0,88.0
1,Huskies,Huskies_D1,Huskies_D2,1H,677.030895,Simple pass,40,88,39.0,58.0
1,Huskies,Huskies_D2,Huskies_D3,1H,679.627443,Simple pass,39,58,42.0,22.0
1,Huskies,Huskies_D3,Huskies_D4,1H,681.346038,Simple pass,42,22,45.0,7.0
1,Opponent1,Opponent1_G1,Opponent1_D3,1H,694.414732,Hand pass,13,69,28.0,96.0
1,Opponent1,Opponent1_D3,Opponent1_M2,1H,698.002619,Simple pass,28,96,32.0,91.0
1,Opponent1,Opponent1_M2,Opponent1_G1,1H,699.267219,Simple pass,32,91,9.0,64.0
1,Huskies,Huskies_M2,Huskies_D4,1H,717.476578,Simple pass,88,10,94.0,5.0
1,Huskies,Huskies_D4,Huskies_M2,1H,719.441687,Simple pass,94,5,82.0,5.0
