 4252	87555	5112.75	758.82	6.39	102	1638.38	94796	301122110	22895	5555
4986	94829	5758.79	817.54	6.44	120.74	2112.7	93308	1204583	22573	5630
6222	100448	6347.84	842.56	6.945	126.02	2391.18	95085	1257332	20545	5755
7326	108830	7279.56	923.24	7.19	140.99	2831.92	100164	1269004	19151	6094
8993	164336	8344.39	1047.26	7.44	162.24	3175.54	105073	1347392	19386	6722
10532	192408	8901.29	1213.44	7.84	177.92	3522.36	105155	1402798	18645	7524
11552	229147	9790.83	1660.23	8.78	203.85	3878.36	105606	1475257	18693	8594
13361	249802	9166.21	2022.19	8.7	174.06	3442.27	97260	1464335	17142	8759
14927	246219	10903.8218	2885	11.02	257.39	4710.71	111764	1624526	19040	12123
16245	248919	12029.23	3102.63	12.12	292.96	5285.86	115583	1697381	20227	13827
18475	293318	12494.21	3452.36	13.94	339.49	6229.74	125655.7958	1860487	22047	15967.8448
