1.03	0.42	50	2.15	1.23	1.64
1.34	0.13	131	0.33	-0.27	-0.64
1.07	0.4	48	1.31	0.49	0.09
-0.43	0.19	20	0.87	3.57	1.8
-0.53	0.25	32	-0.09	-0.33	-0.84
-0.11	0.07	27	0.68	-0.12	0.87
0.35	0.06	31	0.28	-0.3	-0.16
-0.5	0.27	38	-0.78	-0.12	1.61
0.31	0.25	43	0.49	-0.09	-0.06
-0.28	0.84	37	-0.79	-0.49	-0.98
0.01	-0.14	24	0.37	-0.4	-0.49
0.02	-0.47	28	0.03	0.15	0.26
-0.47	0.03	45	-0.76	-0.46	-0.75
-0.45	-0.2	34	-0.45	-0.34	-0.52
0.72	-0.83	13	0.05	-0.09	0.56
0.37	-0.54	21	-0.11	-0.24	-0.02
0.01	0.38	40	-0.17	-0.4	-0.71
-0.81	-0.49	22	-0.38	-0.21	-0.59
-0.24	-0.91	18	-0.05	-0.27	0.61
-0.53	-0.77	27	-0.45	-0.18	1.08
