5.96 	310 	461 	1557 	931 	319 	44.36 	2615 	2.20 	13631 
3.39 	234 	308 	1035 	498 	161 	35.02 	3052 	.90 	12665 
2.35 	157 	229 	713 	295 	109 	38.40 	3031 	.86 	9385 
1.35 	81 	111 	364 	150 	58 	30.45 	2699 	1.22 	7881 
1.50 	88 	128 	421 	144 	58 	34.30 	2808 	.54 	7733 
1.67 	86 	120 	370 	153 	58 	33.53 	2215 	.76 	7480 
1.17 	63 	93 	296 	117 	44 	35.22 	2528 	.58 	8570 
1.05 	67 	92 	297 	115 	43 	32.89 	2835 	.66 	7262 
.95 	64 	94 	287 	102 	39 	31.54 	3008 	.39 	7786 
.69 	39 	71 	205 	61 	24 	34.50 	2988 	.37 	11355 
.56 	40 	57 	177 	61 	23 	32.62 	3149 	.55 	7693 
.57 	58 	64 	181 	57 	22 	32.95 	3202 	.28 	6805 
.71 	42 	62 	190 	66 	26 	28.13 	2657 	.73 	7282 
.74 	42 	61 	194 	61 	24 	33.06 	2618 	.47 	6477 
.86 	42 	71 	204 	66 	26 	29.94 	2363 	.25 	7704 
1.29 	47 	73 	265 	114 	46 	25.93 	2060 	.37 	5719 
1.04 	53 	71 	218 	63 	26 	29.01 	2099 	.29 	7106 
.85 	53 	65 	218 	76 	30 	25.63 	2555 	.43 	5580 
.81 	43 	66 	188 	61 	23 	29.82 	2313 	.31 	5704 
.59 	35 	47 	146 	46 	20 	32.83 	2488 	.33 	5628 
.66 	36 	40 	130 	44 	19 	28.55 	1974 	.48 	9106 
.77 	43 	63 	194 	67 	23 	28.81 	2515 	.34 	4085 
.70 	33 	51 	165 	47 	18 	27.34 	2344 	.28 	7928 
.84 	43 	48 	171 	65 	29 	27.65 	2032 	.32 	5581 
1.69 	26 	45 	137 	75 	33 	12.10 	810 	1.00 	14199 
.55 	32 	46 	130 	44 	17 	28.41 	2341 	.30 	5714 
.60 	28 	43 	129 	39 	17 	31.93 	2146 	.24 	5139 
1.39 	48	62 	208	77 	34	22.70 	1500 	.42 	5377 
.64 	23 	32 	93 	37 	16 	28.12 	1469	.34	5415 
1.48 	38 	46 	151 	63 	30 	17.87 	1024 	.38 	7368 
