45623.05	2.5	8439	16.27
52256.67	1.3	18579	21.5
46551.87	1.13	10445	11.92
28146.76	1.38	7813	15
38670.43	0.12	8980	26.71
26316.96	1.37	6609	11.07
45330.53	0.56	6070	12.4
45853.89	0.28	7896	13.93
35964.64	0.74	6497	8.97
55832.61	-0.12	13149	9.22
33334.62	0.63	6222	11.63
24633.27	0.59	5573	16.39
39258.78	-0.69	9034	22.43
38201.47	-0.34	7083	18.53
16524.32	0.44	5323	12.22
31855.63	-0.02	6019	11.88
22528.8	        -0.16	9069	15.7
21831.94	-0.15	5497	13.56
19966.36	-0.15	5344	12.43
19225.71	-0.16	4233	10.16
