skc,year_id,season_id,tiny_class_code,tag_price
696572115379,2017,None,27050401,73.75
796572115379,2017,None,27050401,98.75
996572115379,2017,None,27050401,61.25
196572115390,2017,None,27050401,73.75
296572115390,2017,None,27050401,98.75
302572115390,2017,None,27050401,73.75
496572115390,2017,None,27050401,98.75
596572115390,2017,None,27050401,98.75
696572115390,2017,None,27050401,73.75
702572115390,2017,None,27050401,73.75
896572115390,2017,None,27050401,73.75
996572115390,2017,None,27050401,73.75
102572115401,2017,None,27050401,161.25
202572115401,2017,None,27050401,73.75
302572115401,2017,None,27050401,98.75
496572115401,2017,None,27050401,61.25
596572115401,2017,None,27050401,98.75
602572115401,2017,None,27050401,98.75
796572115401,2017,None,27050401,98.75
396572115434,2017,None,27050401,73.75
502572115434,2017,None,27050401,73.75
702572115434,2017,None,27050401,98.75
302572115445,2017,None,27050401,73.75
602572115445,2017,None,27050401,73.75
902572115445,2017,None,27050401,73.75
400572115456,2017,None,27050401,48.75
533572115456,2017,None,27050401,73.75
602572115456,2017,None,27050401,148.75
902572115456,2017,None,27050401,98.75
102572115467,2017,None,27050401,73.75
296572115467,2017,None,27050401,73.75
390572115467,2017,None,27050401,98.75
402572115467,2017,None,27050401,98.75
502572115467,2017,None,27050401,98.75
696572115467,2017,None,27050401,73.75
796572115467,2017,None,27050401,73.75
896572115467,2017,None,27050401,73.75
996572115467,2017,None,27050401,73.75
296572115478,2017,None,27050401,48.75
402572115478,2017,None,27050401,73.75
408572115478,2017,None,27050401,73.75
602572115478,2017,None,27050401,61.25
796572115478,2017,None,27050401,123.75
196572115500,2017,None,27050401,298.75
396572115511,2017,None,27050401,73.75
496572115511,2017,None,27050401,73.75
696572115511,2017,None,27050401,98.75
702572115511,2017,None,27050401,98.75
896572115511,2017,None,27050401,98.75
902572115511,2017,None,27050401,98.75
196572115522,2017,None,27050401,98.75
296572115522,2017,None,27050401,98.75
402572115522,2017,None,27050401,73.75
596572115522,2017,None,27050401,98.75
602572115522,2017,None,27050401,98.75
702572115522,2017,None,27050401,73.75
802572115522,2017,None,27050401,98.75
902572115522,2017,None,27050401,161.25
390572115533,2017,None,27050401,123.75
396572115533,2017,None,27050401,123.75
496572115533,2017,None,27050401,161.25
499572115533,2017,None,27050401,161.25
502572115533,2017,None,27050401,161.25
602572115533,2017,None,27050401,161.25
790572115533,2017,None,27050401,173.75
871572115533,2017,None,27050401,98.75
894572115533,2017,None,27050401,98.75
902572115533,2017,None,27050401,98.75
977572115533,2017,None,27050401,98.75
993572115533,2017,None,27050401,98.75
994572115533,2017,None,27050401,98.75
999572115533,2017,None,27050401,98.75
296572115544,2017,None,27050401,123.75
