HatchData
MainCurve1
X,Y
-5.00204133553128,3.57100307256307
-5.00125026702881,3.63476943969727
-4.99495649337769,3.76170659065247
-4.98245143890381,3.88767409324646
-4.96382331848145,4.01246166229248
-4.93915939331055,4.13585901260376
-4.90854597091675,4.25765466690063
-4.87207126617432,4.37763929367065
-4.82982158660889,4.49560165405273
-4.78188467025757,4.61133193969727
-4.72834777832031,4.72461891174316
-4.66929721832275,4.83525228500366
-4.60482120513916,4.94302225112915
-4.53500652313232,5.04771709442139
-4.4599404335022,5.14912748336792
-4.37971019744873,5.24704170227051
-4.29440259933472,5.3412504196167
-4.2498722076416,5.38689947128296
-4.20422315597534,5.43142986297607
-4.11001443862915,5.51673746109009
-4.0120997428894,5.59696817398071
-3.91068959236145,5.67203426361084
-3.80599451065063,5.74184894561768
-3.6982250213623,5.80632495880127
-3.58759164810181,5.86537504196167
-3.47430443763733,5.91891241073608
-3.35857462882996,5.9668493270874
-3.2406120300293,6.00909900665283
-3.12062764167786,6.04557371139526
-2.99883151054382,6.0761866569519
-2.8754346370697,6.10085105895996
-2.75064706802368,6.11947917938232
-2.62467956542969,6.13198375701904
-2.49774241447449,6.13827753067017
-2.4339759349823,6.13906860351563
-2.37020945549011,6.13827753067017
-2.24327230453491,6.13198375701904
-2.11730480194092,6.11947917938232
-1.99251711368561,6.10085105895996
-1.86912000179291,6.0761866569519
-1.74732398986816,6.04557371139526
-1.62733948230743,6.00909900665283
-1.50937688350677,5.9668493270874
-1.39364695549011,5.91891241073608
-1.28035986423492,5.86537504196167
-1.16972625255585,5.80632495880127
-1.06195676326752,5.74184894561768
-0.957261562347412,5.67203426361084
-0.855851411819458,5.59696817398071
-0.757936716079712,5.51673746109009
-0.663727939128876,5.43142986297607
-0.61807906627655,5.38689947128296
-0.57354861497879,5.3412504196167
-0.488241106271744,5.24704170227051
-0.408010691404343,5.14912748336792
-0.332944542169571,5.04771709442139
-0.263129860162735,4.94302225112915
-0.19865383207798,4.83525228500366
-0.139603659510612,4.72461891174316
-0.0860665068030357,4.61133193969727
-0.0381295867264271,4.49560165405273
0.00411992054432631,4.37763929367065
0.0405948311090469,4.25765466690063
0.0712079480290413,4.1358585357666
0.0958720967173576,4.01246166229248
0.11450007557869,3.88767409324646
0.127004697918892,3.76170659065247
0.1332987844944,3.63476943969727
0.13408961892128,3.57100296020508
0.1332987844944,3.50723671913147
0.127004697918892,3.38029932975769
0.114500060677528,3.2543318271637
0.0958720669150352,3.12954425811768
0.0712079033255577,3.00614714622498
0.0405947603285313,2.88435101509094
0.00411982694640756,2.76436638832092
-0.0381297096610069,2.64640402793884
-0.0860666558146477,2.53067398071289
-0.139603823423386,2.41738700866699
-0.198654040694237,2.30675339698792
-0.263130098581314,2.19898390769958
-0.332944810390472,2.09428882598877
-0.408010989427567,1.99287855625153
-0.48824143409729,1.89496386051178
-0.573548972606659,1.80075514316559
